Артикул	Код	Наименование	ОПТОВАЯ ЦЕНА МСК .руб	Раздел	РОЗНИЧНАЯ ЦЕНА МСК .руб	Количество в комплекте	Ширина в коробке мм	Глубина в коробке мм	Высота в коробке мм	Вес общий (кг)	Назначение 	Вид смесителя 	Производитель 	Цвет	По месту установки 	Тип излива 	Высота смесителя/Душевой системы мм	Вынос излива мм	Наличие душевого гарнитура	Количество монтажных отверстий  	Форма лейки верхнего душа	Материал корпуса 	Гарантия	Штрих код	Описание	URL страницы детального просмотра	Фото 0	Фото 1	Фото 2	Фото 3	Фото 4	Фото 5	Фото 6	Фото 7	Фото 8	Схема 
00003127663	FE0002-CCT	COMFORTY. Смеситель напольный, FE0002-CCT, хром	20 880,00р.		29 200,00р.	1	810	180	475	5,1	Смесители для ванны	Одноручковый	Comforty	Хром	Напольный	R-образный	1150	200	Да	-	-	Латунь	Гарантийный срок 5 лет	4630015250808	Смеситель напольный одноручковый для отдельностоящих ванн Comforty FE0002-CCT  Присоединение смесителя: напольное скрытое исполнение Высота излива - 1150 мм Длина излива - 200 мм Цвет - хром Материал - латунь  Комплектация: стойка, смеситель (керамический картридж), шланг 1,5 м., душевая лейка (с функцией самоочистки).	https://www.comforty.ru/catalog/smesiteli/smesitely/smesitel-dlya-umyvalnika-fe0002-cct/	https://www.comforty.ru/upload/iblock/7e1/7e1cad4fda157cf94f6cda0d2433daab.jpg	https://www.comforty.ru/upload/iblock/cd4/cd49b069a1d768e69eb1d63c4791b450.jpg	https://www.comforty.ru/upload/iblock/492/4924b7203b9a60707467a6407a866d2d.jpg	https://www.comforty.ru/upload/iblock/ae6/ae6105cdb93627cec35c40bb80f40ab3.jpg	https://www.comforty.ru/upload/iblock/0c4/0c416fc0c05b4400550e2d3595bee34e.jpg	https://www.comforty.ru/upload/iblock/849/84984ccfe3038b91a4d5618138b08abc.jpg	https://www.comforty.ru/upload/iblock/903/903376ce84d30cbb67e79568da70779f.jpg	https://www.comforty.ru/upload/iblock/f5b/f5b19d732ff533e4adaafaa0997cc0a3.jpg	-	https://www.comforty.ru/upload/iblock/fe2/fe20a1aeec629ccd057f6d2ceae5fb59.jpg
00004149951	FE018M-CMT	COMFORTY. Смеситель напольный, FE018M-CMT, черный матовый	29 750,00р.		41 600,00р.	1	810	180	475	5	Смесители для ванны	Одноручковый	Comforty	Черный	Напольный	R-образный	1160	180	Да	-	-	Латунь	Гарантийный срок 5 лет	4630015258248	Торговая марка: Comforty Артикул: FE018M-CMT Цвет: черный матовый Материал: латунь Монтаж: на пол  Смеситель напольный одноручковый для отдельностоящих ванн Comforty FE018M-CMT  Присоединение смесителя: напольное скрытое исполнение Высота излива - 1160 мм Вынос излива - 180 мм Верхний рычаг для переключения между изливом и лейкой Нижний рычаг для регулировки напора и температуры воды  Комплектация: стойка, смеситель (керамический картридж) душевой шланг 1500 мм. душевая лейка (с функцией самоочистки).	https://www.comforty.ru/catalog/smesiteli/smesitely/smesitel-dlya-vanny-napolnyy-fe018m-cmt/	https://www.comforty.ru/upload/iblock/8b8/8b8d09fd1e1fb65f6f77ea9b0b941958.jpg	https://www.comforty.ru/upload/iblock/fdf/fdfe366456b71c19fb5c3c1d10cbabae.jpg	https://www.comforty.ru/upload/iblock/d66/d666a7a2351aa9e047f3a8d5458fbea9.jpg	https://www.comforty.ru/upload/iblock/466/4662afef815b97f70e590370eb0dbc5a.jpg	https://www.comforty.ru/upload/iblock/a1c/a1c395011016fd4dee9780aa8e190f43.jpg	https://www.comforty.ru/upload/iblock/b89/b8972e10583e04af40578fa33a8b4004.jpg	https://www.comforty.ru/upload/iblock/287/287ee5c9fdd7f71dfff12101c1ce13f6.jpg	https://www.comforty.ru/upload/iblock/817/8170a4cd0ebe4ea4c93c124cde9d0dcf.jpg	-	https://www.comforty.ru/upload/iblock/b72/b72e428d7a5ddb81a37d3b93c69df0c5.jpg
00004149952	FF018W-CMT	COMFORTY. Душевая система, FF018W-CMT, черный матовый	24 600,00р.		34 400,00р.	1	925	140	435	5,1	Душевые системы	Одноручковый	Comforty	Черный	Монтаж на стену	Без излива	1435	370	Да	-	Круглая	Латунь	Гарантийный срок 5 лет	4630015258262	Цвет: Черный Материал: Латунь Монтаж: Настенный  Душевая система в комплекте: однорычажный смеситель для регулировки температуры и напора воды переключатель между тропической и ручной лейкой, штанга регулируемая телескопическая, вылет 0-35 см однорежимная душевая лейка, душевой шланг длиной 1500 мм, вынос тропической лейки 370 мм круглая лейка верхнего душа d 200 мм, на шаровом шарнире, угол наклона 15 градусов	https://www.comforty.ru/catalog/smesiteli/dushevye-sistemy/dushevaya-sistema-ff018w-cmt/	https://www.comforty.ru/upload/iblock/ef6/ef6d73273eae335ba9cb0a8cda526964.jpg	https://www.comforty.ru/upload/iblock/c20/c201a3104b81356112c851cc6f4858fb.jpg	https://www.comforty.ru/upload/iblock/968/968345df51e4dd6326fbe5221753b955.jpg	https://www.comforty.ru/upload/iblock/c98/c98a25acab5b4b16148955e359fa0e58.jpg	https://www.comforty.ru/upload/iblock/4b6/4b675782ffb7b43046c68d7c35ea444e.jpg	https://www.comforty.ru/upload/iblock/df1/df138c00331c7dbed63c77c3bffe6b6c.jpg	https://www.comforty.ru/upload/iblock/647/647d45029c341c97b4a7f649e4a97d87.jpg	https://www.comforty.ru/upload/iblock/04b/04b01d2aebdbe7a00de863a78a44e5c3.jpg	-	https://www.comforty.ru/upload/iblock/535/5354f72beb7dd08970a04823485a6534.jpg
00-00004533	FC074B-CGT	COMFORTY. Смеситель для раковины, картридж 35 мм, графит, FC074B-CGT	8 870,00р.		12 400,00р.	1	430	240	75	2,4	Смесители для умывальника	Одноручковый	Comforty	Графит	Монтаж на столешницу	Высокий	152	130	-	На одно отверстие	-	Латунь	Гарантийный срок 5 лет	4630100141066	Цвет: графит Материал: латунь Монтаж: на раковину  Смеситель для раковины/умывальника Однорычажный Корпус средней высоты 152 мм с выносом 130 мм Монтаж на одно отверстие Аэратор Neoperl Керамический картридж Sedal 35 мм Гибкая подводка 600 мм 	https://www.comforty.ru/catalog/smesiteli/smesitely/smesitel-dlya-umyvalnika-fc074b-cgt/	https://www.comforty.ru/upload/iblock/f58/f5863e1b77e685cc7887b55bf1047742.jpg	https://www.comforty.ru/upload/iblock/28f/28f260d5c82ee481fed87862c9e58289.jpg	https://www.comforty.ru/upload/iblock/76d/76dfc858f53caa343767d25b901c1bce.jpg	https://www.comforty.ru/upload/iblock/1c8/1c86ea971275dafee6720aa897860aad.jpg	https://www.comforty.ru/upload/iblock/c5a/c5a4ceb402b6afbfa0141344d4e1a9e1.jpg	https://www.comforty.ru/upload/iblock/bb0/bb00d89c2012691a0b9ae08ddbafb9cf.jpg	https://www.comforty.ru/upload/iblock/75f/75f144dad3dc775ce219d0b6c4b87a92.jpg	-	-	https://www.comforty.ru/upload/iblock/de9/de95a238807387606c93931e2c8c47d1.jpg
00-00004521	FC066B-CCT	COMFORTY. Смеситель для раковины, картридж 35 мм, хром, FC066B-CCT	9 160,00р.		12 800,00р.	1	430	240	75	2,3	Смесители для умывальника	Одноручковый	Comforty	Хром	Монтаж на столешницу	Высокий	302	152	-	На одно отверстие	-	Латунь	Гарантийный срок 5 лет	4630100140953	Цвет: хром Материал: латунь Монтаж: на раковину  Смеситель для раковины/умывальника Однорычажный Излив с выносом 152 мм Высота смесителя 302 мм Монтаж на одно отверстие Аэратор Neoperl Керамический картридж Sedal 35 мм Гибкая подводка 500 мм  Современный, актуальный дизайн  Смеситель может устанавливаться на столешницу совместно с отдельностоящими раковинами чашами	https://www.comforty.ru/catalog/smesiteli/smesitely/smesitel-dlya-umyvalnika-fc066b-cct/	https://www.comforty.ru/upload/iblock/b0e/b0eaead0989e12a9681d85e6b72037af.jpg	https://www.comforty.ru/upload/iblock/c6d/c6d4ec39aa58c76f5be987cc028c56c9.jpg	https://www.comforty.ru/upload/iblock/b7a/b7a01baefff37a9f642f7665d9fd2326.jpg	https://www.comforty.ru/upload/iblock/ad0/ad0ba953039e7471b0ed8101cfcbc4b1.jpg	https://www.comforty.ru/upload/iblock/906/906688551ef6ec67952aa5055c285dda.jpg	https://www.comforty.ru/upload/iblock/7cb/7cb5f7e596ca003069f562752db5bee9.jpg	https://www.comforty.ru/upload/iblock/a5f/a5f90695b23ce6eb70c54b5ab0838eeb.jpg	-	-	https://www.comforty.ru/upload/iblock/d29/d29593a9f952f9f46e463caf0288ac87.jpg
00-00004525	FC071B-CCT	COMFORTY. Смеситель для раковины, картридж 35 мм, хром, FC071B-CCT	8 870,00р.		12 400,00р.	1	430	240	75	2,5	Смесители для умывальника	Одноручковый	Comforty	Хром	Монтаж на столешницу	Высокий	256	190	-	На одно отверстие	-	Латунь	Гарантийный срок 5 лет	4630100140984	Цвет: хром Материал: латунь Монтаж: на раковину  Смеситель для раковины/умывальника Однорычажный Высокий излив 256 мм с выносом 190 мм Монтаж на одно отверстие  Аэратор Neoperl Керамический картридж Sedal 35 мм Гибкая подводка 600 мм	https://www.comforty.ru/catalog/smesiteli/smesitely/smesitel-dlya-umyvalnika-fc071b-cct/	https://www.comforty.ru/upload/iblock/511/511ec25dd53c6ed19839f06b05634d93.jpg	https://www.comforty.ru/upload/iblock/99c/99ca1b9ea650555b8e6d686dc06b41c7.jpg	https://www.comforty.ru/upload/iblock/340/340d60d5f9b1f9ab1744b51c65227952.jpg	https://www.comforty.ru/upload/iblock/0f8/0f89c3baff0d11374af9fd484bca4b1a.jpg	https://www.comforty.ru/upload/iblock/5e6/5e627c6c5bbf2049c22518cb9fcf899f.jpg	https://www.comforty.ru/upload/iblock/3f6/3f613f8c247ef06b82af19f372e6734f.jpg	https://www.comforty.ru/upload/iblock/dc6/dc6f8b0ee5105fc6093ce6c41363c21d.jpg	-	-	https://www.comforty.ru/upload/iblock/e47/e47c5f2cf45426abdb37f0c5a7b9c8ad.jpg
00-00004532	FC074B-CCT	COMFORTY. Смеситель для раковины, картридж 35 мм, хром, FC074B-CCT	7 730,00р.		10 800,00р.	1	430	240	75	2,4	Смесители для умывальника	Одноручковый	Comforty	Хром	Монтаж на столешницу	Высокий	289	160	-	На одно отверстие	-	Латунь	Гарантийный срок 5 лет	4630100141059	Цвет: хром Материал: латунь Монтаж: на раковину  Смеситель для раковины/умывальника Однорычажный Излив с выносом 160 мм Высота смесителя 289 мм Монтаж на одно отверстие Аэратор Neoperl Керамический картридж Sedal 35 мм Гибкая подводка 500 мм  Современный, актуальный дизайн  Смеситель может устанавливаться на столешницу совместно с отдельностоящими раковинами чашами	https://www.comforty.ru/catalog/smesiteli/smesitely/smesitel-dlya-umyvalnika-fc074b-cct/	https://www.comforty.ru/upload/iblock/000/000b800b45d6657b73615f4c3e75201c.jpg	https://www.comforty.ru/upload/iblock/c99/c99186b778e0e0e749cf53c043d7101a.jpg	https://www.comforty.ru/upload/iblock/d64/d642570d3c8c30b6a706d38c667a093c.jpg	https://www.comforty.ru/upload/iblock/ed0/ed0bfe488b63f113f19147df86adbf73.jpg	https://www.comforty.ru/upload/iblock/5fe/5feb4c6f8bd88b83b89188842c62fe35.jpg	https://www.comforty.ru/upload/iblock/ebc/ebc16a8d471a659b2ed42baf4fe6e9bb.jpg	https://www.comforty.ru/upload/iblock/5a3/5a3669adca8d892685ff1a79c954eaef.jpg	-	-	https://www.comforty.ru/upload/iblock/b93/b93bf547206b2c708bdd67120dcbd2f3.jpg
00004149948	FC018B-CMT	COMFORTY. Смеситель для раковины, картридж 35 мм, черный матовый, FC018B-CMT	7 150,00р.		10 000,00р.	1	430	240	75	1,8	Смесители для умывальника	Одноручковый	Comforty	Черный	Монтаж на столешницу	Высокий	310	125	-	На одно отверстие	-	Латунь	Гарантийный срок 5 лет	4630015258255	Цвет: черный Материал: латунь Монтаж: на раковину  Смеситель для раковины/умывальника Однорычажный Короткий излив с выносом 125 мм  Высота смесителя 310 мм Монтаж на одно отверстие  Аэратор Neoperl Керамический картридж Sedal 35 мм Гибкая подводка 600 мм  Смеситель может устанавливаться на столешницу совместно с отдельностоящими раковинами чашами 	https://www.comforty.ru/catalog/smesiteli/smesitely/smesitel-dlya-umyvalnika-fc018b-cmt/	https://www.comforty.ru/upload/iblock/64f/64f1e0bc9f7c1afe781f9f6c492e6889.jpg	https://www.comforty.ru/upload/iblock/cf4/cf4c301f78560d00fb9414194acd945c.jpg	https://www.comforty.ru/upload/iblock/36e/36edba4f2943e5412d9fd13f981f11bd.jpg	https://www.comforty.ru/upload/iblock/8d8/8d85d6652dbf5770114a4231abc821c3.jpg	https://www.comforty.ru/upload/iblock/60c/60c66af3f07810f1d82f7ebdca914f8f.jpg	https://www.comforty.ru/upload/iblock/464/464f295832e032f4d7a02709a79228ae.jpg	https://www.comforty.ru/upload/iblock/602/6027cccbe7d9ab137eeb1bb5ca13a6f6.jpg	-	-	https://www.comforty.ru/upload/iblock/ab4/ab40a44ae67c17d8c830a4f2836568c4.jpg
00004149950	FC045B-CMT	COMFORTY. Смеситель для раковины, картридж 35 мм, черный матовый, FC045B-CMT	9 160,00р.		12 800,00р.	1	430	240	75	2,7	Смесители для умывальника	Одноручковый	Comforty	Черный	Монтаж на столешницу	Высокий	310	165	-	На одно отверстие	-	Латунь	Гарантийный срок 5 лет	4630015258231	Цвет: черный Материал: латунь Монтаж: на раковину  Смеситель для раковины/умывальника c "квадратным" граненым дизайном Однорычажный Излив с выносом 165 мм  Высота смесителя 310 мм Монтаж на одно отверстие  Аэратор Neoperl Керамический картридж Sedal 35 мм Гибкая подводка 600 мм  Смеситель может устанавливаться на столешницу совместно с отдельностоящими раковинами чашами	https://www.comforty.ru/catalog/smesiteli/smesitely/smesitel-dlya-umyvalnika-fc045b-cmt/	https://www.comforty.ru/upload/iblock/e19/e1954b86816ae323e4e19c717d65a6ac.jpg	https://www.comforty.ru/upload/iblock/aed/aed695c45958b23b624f3ca27d1896bc.jpg	https://www.comforty.ru/upload/iblock/3a3/3a3803e7e2d4744d5adf65a2f43e9f88.jpg	https://www.comforty.ru/upload/iblock/056/056fef89336766548629626c78893daf.jpg	https://www.comforty.ru/upload/iblock/49a/49a961ebd8a9c6e3f68ae7a0bdcd6daf.jpg	https://www.comforty.ru/upload/iblock/4b1/4b1d393b76ad36f45a8e7ee919d5f3bb.jpg	https://www.comforty.ru/upload/iblock/041/041cbaa3ce2d2def212954d12c321922.jpg	-	-	https://www.comforty.ru/upload/iblock/101/10171b4c32c472fc1f007c101cab44ac.jpg
00-00004526	FC071B-CMT	COMFORTY. Смеситель для раковины, картридж 35 мм, черный матовый, FC071B-CMT	9 440,00р.		13 200,00р.	1	430	240	75	2,5	Смесители для умывальника	Одноручковый	Comforty	Черный	Монтаж на столешницу	Высокий	256	190	-	На одно отверстие	-	Латунь	Гарантийный срок 5 лет	4630100140991	Цвет: черный матовый Материал: латунь Монтаж: на раковину  Смеситель для раковины/умывальника Однорычажный Высокий излив 256 мм с выносом 190 мм Монтаж на одно отверстие  Аэратор Neoperl Керамический картридж Sedal 35 мм Гибкая подводка 600 мм	https://www.comforty.ru/catalog/smesiteli/smesitely/smesitel-dlya-umyvalnika-fc071b-cmt/	https://www.comforty.ru/upload/iblock/b5f/b5f3f1cc3111f3f1c15d25f8297881cb.jpg	https://www.comforty.ru/upload/iblock/5c7/5c768bbb2d017b0e3d7f12f1fdd3ba29.jpg	https://www.comforty.ru/upload/iblock/af7/af79ae5fed79657e170b70ef09cf7d81.jpg	https://www.comforty.ru/upload/iblock/234/23459d2559c43a93073adc4f0f79ba60.jpg	https://www.comforty.ru/upload/iblock/817/81727382cb47d4cc1d33f1ede131e570.jpg	https://www.comforty.ru/upload/iblock/308/30825f41905077d3f9a26866727ae1de.jpg	-	-	-	https://www.comforty.ru/upload/iblock/507/5076b5bd6a8e83a37860edda17f3e3ff.jpg
00004149946	FC088B-CMT	COMFORTY. Смеситель для раковины, картридж 35 мм, черный матовый, FC088B-CMT	9 010,00р.		12 600,00р.	1	430	240	75	2,4	Смесители для умывальника	Одноручковый	Comforty	Черный матовый	Монтаж на столешницу	Высокий	284	147	-	На одно отверстие	-	Латунь	Гарантийный срок 5 лет	4630015258200	Цвет: черный Материал: латунь Монтаж: на столешницу  Однорычажный Короткий излив с выносом 147 мм Монтаж на одно отверстие  Аэратор Neoperl Керамический картридж Sedal 35 мм Гибкая подводка 500 мм  Современный, актуальный дизайн	https://www.comforty.ru/catalog/smesiteli/smesitely/smesitel-dlya-umyvalnika-comforty-fc088b-cmt/	https://www.comforty.ru/upload/iblock/b7c/b7c60c69c3df3d2e4eecd701ee6d0277.jpg	https://www.comforty.ru/upload/iblock/34d/34dbf9b193ee5e392b7a62563cab65a7.jpg	https://www.comforty.ru/upload/iblock/499/49911520f211f5f819a8b45ec8bd0071.jpg	https://www.comforty.ru/upload/iblock/859/8593d9391b0ea96510c629790879f393.jpg	https://www.comforty.ru/upload/iblock/b57/b57d23c6406d2258584fe91c2b3e9389.jpg	https://www.comforty.ru/upload/iblock/c3a/c3a5721fbfa7a05363fc9adfa3eb0ff7.jpg	https://www.comforty.ru/upload/iblock/f99/f9903de27e3688e1f33588e763fd262c.jpg	https://www.comforty.ru/upload/iblock/558/5585b96ab7e1b9a24bd187ce4d518e0d.jpg	https://www.comforty.ru/upload/iblock/cd7/cd7fe278497e2f12593c5cc2e34b890c.jpg	https://www.comforty.ru/upload/iblock/967/9673cdd6599e0cb94e5bfcd468c4cdd2.jpg
00-00004534	FC074B-CMT	COMFORTY. Смеситель для раковины, картридж 35 мм, черный матовый, FC074B-CMT	8 010,00р.		11 200,00р.	1	430	240	75	2,4	Смесители для умывальника	Одноручковый	Comforty	Черный	Монтаж на столешницу	Высокий	289	160	-	На одно отверстие	-	Латунь	Гарантийный срок 5 лет	4630100141073	Цвет: черный Материал: латунь Монтаж: на раковину  Смеситель для раковины/умывальника Однорычажный Излив с выносом 160 мм Высота смесителя 289 мм Монтаж на одно отверстие Аэратор Neoperl Керамический картридж Sedal 35 мм Гибкая подводка 500 мм  Современный, актуальный дизайн  Смеситель может устанавливаться на столешницу совместно с отдельностоящими раковинами чашами	https://www.comforty.ru/catalog/smesiteli/smesitely/smesitel-dlya-umyvalnika-fc074b-cmt/	https://www.comforty.ru/upload/iblock/07d/07d4424ec6100f3dd4d351f381726133.jpg	https://www.comforty.ru/upload/iblock/740/740e9c8bd749e77119babb3514620fa5.jpg	https://www.comforty.ru/upload/iblock/5ce/5ce1801cd33483539c64d088cfe0432d.jpg	https://www.comforty.ru/upload/iblock/922/922204c93dc823beea499827c75d8edf.jpg	https://www.comforty.ru/upload/iblock/ae6/ae62030e5124be56d068ffc29142da8e.jpg	https://www.comforty.ru/upload/iblock/e9e/e9e285339a08a0d0039f844b6870954a.jpg	https://www.comforty.ru/upload/iblock/bf8/bf88af37d51ed99230a8fb222086ec46.jpg	-	-	https://www.comforty.ru/upload/iblock/6d3/6d38a3dc010db307484d9a523ea45404.jpg
00-00004535	FF074R-CCT	COMFORTY. Душевая система, FF074R-CCT, хром	15 380,00р.		21 500,00р.	1	925	140	435	5,5	Душевые системы	Одноручковый	Comforty	Хром	Монтаж на стену	Короткий	1290	360	Да	-	Прямоугольная	Латунь	Гарантийный срок 5 лет	4630100141080	Цвет: хром Материал: латунь Монтаж: настенный  Душевая система в комплекте: - однорычажный смеситель для регулировки температуры и напора воды - переключатель между тропической и ручной лейкой и изливом - штанга регулируемая телескопическая, вылет 0-35 см - однорежимная душевая лейка, - душевой шланг длиной 1500 мм, - вынос тропической лейки 360 мм - прямоугольная лейка верхнего душа 390х190 мм, на шаровом шарнире, угол наклона 15 градусов	https://www.comforty.ru/catalog/smesiteli/dushevye-sistemy/dushevaya-sistema-ff074r-cct/	https://www.comforty.ru/upload/iblock/f5d/f5d4cdb828839f5cf47216fd33ba06d8.jpg	https://www.comforty.ru/upload/iblock/7ef/7ef2344cc2db4abf7c33b04ddf383cfb.jpg	https://www.comforty.ru/upload/iblock/699/699a34a638efc95e60ddc3c62e6ab3b7.jpg	https://www.comforty.ru/upload/iblock/0c6/0c6cf96ca6b242ae46a1915fa42ca6a9.jpg	https://www.comforty.ru/upload/iblock/04f/04f201da7ea3cc56f82232718f0fc9d2.jpg	https://www.comforty.ru/upload/iblock/989/98929c9cf2c4e8f936ef0d900604ea62.jpg	https://www.comforty.ru/upload/iblock/83e/83ecde21475b586766b7404d3e5c5545.jpg	https://www.comforty.ru/upload/iblock/831/831a43b8917536106f8f5cc0d7794bc3.jpg	https://www.comforty.ru/upload/iblock/11d/11d1c2895399981842471c91c1b8ef6d.jpg	https://www.comforty.ru/upload/iblock/534/53422df1e06f1a6bf6ac589c4db89fd4.jpg
00-00004537	FF074R-CGT	COMFORTY. Душевая система, FF074R-CGT, графит	21 880,00р.		30 600,00р.	1	925	140	435	5,5	Душевые системы	Одноручковый	Comforty	Графит	Монтаж на стену	Короткий	1290	360	Да	-	Квадратная	Латунь	Гарантийный срок 5 лет	4630100141097	Цвет: графит Материал: латунь Монтаж: настенный  Душевая система в комплекте: - однорычажный смеситель для регулировки температуры и напора воды - переключатель между тропической и ручной лейкой и изливом - штанга регулируемая телескопическая, вылет 0-35 см - однорежимная душевая лейка, - душевой шланг длиной 1500 мм, - вынос тропической лейки 360 мм - квадратная лейка верхнего душа 230х230 мм, на шаровом шарнире, угол наклона 15 градусов	https://www.comforty.ru/catalog/smesiteli/dushevye-sistemy/dushevaya-sistema-comforty-ff074r-cgt-grafit/	https://www.comforty.ru/upload/iblock/be6/be63fc00e8adfd2fd8a0c61d86f04420.jpg	https://www.comforty.ru/upload/iblock/a67/a67f362c4ce0762d83e42c177146e662.jpg	https://www.comforty.ru/upload/iblock/26b/26be1e9bdb55aad6b31fd69d3aa07a30.jpg	https://www.comforty.ru/upload/iblock/18d/18dc52a926e74624a1980deb04b430e1.jpg	https://www.comforty.ru/upload/iblock/52b/52b89556b3be17633865f0f20b496c7a.jpg	https://www.comforty.ru/upload/iblock/fe1/fe15f8ff24dd70c2c8f4bfd731b108aa.jpg	https://www.comforty.ru/upload/iblock/23c/23c9b4c818c857b1904b8bdb333b7704.jpg	https://www.comforty.ru/upload/iblock/8e6/8e690f68a2feaad2e0ff24be705dad9c.jpg	https://www.comforty.ru/upload/iblock/88a/88a932cd1b1df9f84ae51c8e3ecd49a6.jpg	https://www.comforty.ru/upload/iblock/54a/54a8a5ccf2ed10b3e6ba8a6e66657d47.jpg
