Артикул	Название	Раздел	Тип	Цена опт, Руб.	Цена РРЦ, руб.	Акция опт	Акция РРЦ	Ширина, мм.	Высота, мм.	Вес нетто, кг	Вес брутто, кг	Ширина упаковки, м	Высота упаковки, м	Глубина упаковки, м	Объём, м. куб.	Штрих код	Бренд	Нименование колекции SinteSi	Подсветка	Вид подсветки	Мощность лампы, вт/м	Цвет подсветки	Тип выключателя	Фурнитура с механизмом доводчика	Подогрев зеркала	Способ подключения	Форма	Страна-изготовитель	Материал корпуса	Цвет корпуса	Покрытие корпуса	Способ монтажа	Гарантийный срок	Характеристики	Описание	Основная схема	Доп. схема	Фото 0	Фото 1	Фото 2	Фото 3	Фото 4	Фото 5	Фото 6	Фото 7	Фото 8	Фото 9	Фото 10	Фото 11	Фото 12	Фото 13	Фото 14
SIN-SPEC-KANTO-black-60	Зеркало SINTESI KANTO BLACK 60 с LED-подсветкой  600x800	Зеркала	Зеркала	8800	12200	7040	9760	600	800	8,2	8,7	0,65	0,85	0,04	0,0221	4687202258338	Sintesi	KANTO	Светодиодная лента	Встроенный	9,6	Холодный	сенсорный			Провод питания с вилкой	Прямоугольник	Россия	Алюминий	Черный	матовое	Подвесной	2 года	LED подсветка; сенсорный выключатель; алюминиевый матовый профиль черного цвета	Зеркало нестенное KANTO BLACK 60, 600х800 с LED подсветкой и сенсорным выключателем. Алюминиевый матовый профиль черного цвета. Потребляемая мощность 26 W. Класс защиты IP44. Стеклянное зеркальное полотно Mirox производства компании AGC Glass Russia, принадлежащей международной группе мирового лидера по производству стекла AGC Inc. LED подсветка, сенсорный выключатель, блок питания, крепление зеркала (кронштейн с крюком), клеммник, сетевой шнур. Материал корпуса - Анодированный алюминий (профиль) черного цвета, задняя стенка пластик (АБС). Можно использовать в любом помещение: ванная и туалет, прихожая, спальня, гостиная	https://disk.yandex.ru/i/nWSOKg1HXwijFw	https://disk.yandex.ru/i/fiBIN4zAt9PhDg	https://cdn1.ozone.ru/s3/multimedia-j/6734953603.jpg	https://cdn1.ozone.ru/s3/multimedia-a/6391475278.jpg	https://cdn1.ozone.ru/s3/multimedia-8/6391810400.jpg	https://cdn1.ozone.ru/s3/multimedia-7/6391810399.jpg	https://cdn1.ozone.ru/s3/multimedia-a/6391810402.jpg	https://cdn1.ozone.ru/s3/multimedia-6/6391475274.jpg	https://cdn1.ozone.ru/s3/multimedia-t/6369130637.jpg	https://cdn1.ozone.ru/s3/multimedia-g/6370201840.jpg	https://cdn1.ozone.ru/s3/multimedia-0/6466480728.jpg						
SIN-SPEC-KANTO-black-70	Зеркало SINTESI KANTO BLACK 70 с LED-подсветкой  700х1000	Зеркала	Зеркала	10300	14400	8240	11520	700	1000	13	13,5	0,75	0,105	0,04	0,0031	4687202258345	Sintesi	KANTO	Светодиодная лента	Встроенный	9,6	Холодный	сенсорный			Провод питания с вилкой	Прямоугольник	Россия	Алюминий	Черный	матовое	Подвесной	2 года	LED подсветка; сенсорный выключатель; алюминиевый матовый профиль черного цвета	Зеркало настенное KANTO BLACK 70, 700х1000 с LED подсветкой и сенсорным выключателем. Алюминиевый матовый профиль черного цвета. Потребляемая мощность 26 W. Класс защиты IP44. Стеклянное зеркальное полотно Mirox производства компании AGC Glass Russia, принадлежащей международной группе мирового лидера по производству стекла AGC Inc. LED подсветка, сенсорный выключатель, блок питания, крепление зеркала (кронштейн с крюком), клеммник, сетевой шнур. Материал корпуса - Анодированный алюминий (профиль) черного цвета, задняя стенка пластик (АБС). Можно использовать в любом помещение: ванная и туалет, прихожая, спальня, гостиная	https://disk.yandex.ru/i/FizoUlsK5vcNpA	https://disk.yandex.ru/i/3iPgIYZdDhcqhw	https://cdn1.ozone.ru/s3/multimedia-j/6734953603.jpg	https://cdn1.ozone.ru/s3/multimedia-9/6391810401.jpg	https://cdn1.ozone.ru/s3/multimedia-8/6391810400.jpg	https://cdn1.ozone.ru/s3/multimedia-7/6391810399.jpg	https://cdn1.ozone.ru/s3/multimedia-a/6391810402.jpg	https://cdn1.ozone.ru/s3/multimedia-o/6369130668.jpg	https://cdn1.ozone.ru/s3/multimedia-o/6369130632.jpg	https://cdn1.ozone.ru/s3/multimedia-i/6369130590.jpg	https://cdn1.ozone.ru/s3/multimedia-t/6369130565.jpg	https://cdn1.ozone.ru/s3/multimedia-c/6391810404.jpg	https://cdn1.ozone.ru/s3/multimedia-s/6466481008.jpg				
SIN-SPEC-TITO-45	Зеркало SINTESI TITO 45 с LED-подсветкой  450х800	Зеркала	Зеркала	6800	9500	5440	7600	450	800	6,6	7,1	0,51	0,85	0,04	0,0173	4687202258352	Sintesi	TITO	Светодиодная лента	Встроенный	9,6	Холодный	сенсорный			Провод питания с вилкой	Овал	Россия	МДФ			Подвесной	2 года	LED подсветка; сенсорный выключатель, мдф рама	Зеркало настенное TITO 45, 450х800 c подсветкой . Зеркало для ванной комнаты с ореольной LED подсветкой и сенсорным выключателем. Потребляемая мощность 25 W. Класс защиты IP44. Стеклянное зеркальное полотно Mirox . Ореольная LED подсветка, сенсорный выключатель, блок питания, реверсные крепления зеркала, клеммник, сетевой шнур. Материал корпуса - МДФ, пленка ПВХ. Можно использовать в любом помещение: ванная и туалет, прихожая, спальня, гостиная	https://disk.yandex.ru/i/pgSiIGl3-Sq3ww	https://disk.yandex.ru/i/aF8oVSIXxry5Nw	https://cdn1.ozone.ru/s3/multimedia-g/6734954968.jpg	https://cdn1.ozone.ru/s3/multimedia-j/6391800511.jpg	https://cdn1.ozone.ru/s3/multimedia-k/6391800512.jpg	https://cdn1.ozone.ru/s3/multimedia-8/6369130580.jpg	https://cdn1.ozone.ru/s3/multimedia-8/6369130544.jpg	https://cdn1.ozone.ru/s3/multimedia-c/6369130584.jpg	https://cdn1.ozone.ru/s3/multimedia-5/6369130829.jpg	https://cdn1.ozone.ru/s3/multimedia-v/6369130495.jpg	https://cdn1.ozone.ru/s3/multimedia-b/6369130547.jpg	https://cdn1.ozone.ru/s3/multimedia-t/6369130673.jpg	https://cdn1.ozone.ru/s3/multimedia-m/6391800514.jpg	https://cdn1.ozone.ru/s3/multimedia-o/6466484280.jpg			
SIN-SPEC-SALERNO-100	Зеркало SINTESI SALERNO 100 с LED-подсветкой  1000х700, с подогревом	Зеркала	Зеркала	9200	12800	7360	10240	1000	700	8,8	9,3	0,105	0,75	0,04	0,0031	4687202258369	Sintesi	SALERNO	Светодиодная лента	за полотном	9,6	Холодный	бесконтактный сенсор		Да	Провод питания с вилкой	Прямоугольник	Россия	ПВХ рамка			Подвесной	2 года	LED подсветка; бесконтактный сенсор, ореольная подсветка, подогрев	Зеркало настенное SALERNO 100, 1000x700 с бесконтактным включением. Зеркало с фоновый подсветкой. Использовать в любом помещение: ванная и туалет, прихожая, спальня, гостиная. Благодаря размещению LED ленты за зеркалом, создается эффект "парения". Можно использовать в любом помещение: ванная и туалет, прихожая, спальня, гостиная	https://disk.yandex.ru/i/qfAYbD71H3VGCw	https://disk.yandex.ru/i/K2J1Ta5rPTwTNQ	https://cdn1.ozone.ru/s3/multimedia-x/6734955813.jpg	https://cdn1.ozone.ru/s3/multimedia-g/6391831648.jpg	https://cdn1.ozone.ru/s3/multimedia-h/6391831649.jpg	https://cdn1.ozone.ru/s3/multimedia-f/6391831647.jpg	https://cdn1.ozone.ru/s3/multimedia-v/6369130603.jpg	https://cdn1.ozone.ru/s3/multimedia-p/6369130705.jpg	https://cdn1.ozone.ru/s3/multimedia-x/6369130641.jpg	https://cdn1.ozone.ru/s3/multimedia-n/6369130631.jpg	https://cdn1.ozone.ru/s3/multimedia-b/6369130691.jpg	https://cdn1.ozone.ru/s3/multimedia-i/6391831650.jpg	https://cdn1.ozone.ru/s3/multimedia-s/6369130636.jpg	https://cdn1.ozone.ru/s3/multimedia-l/6369130629.jpg	https://cdn1.ozone.ru/s3/multimedia-1/6369130609.jpg	https://cdn1.ozone.ru/s3/multimedia-p/6466481725.jpg	
SIN-SPEC-SALERNO-120	Зеркало SINTESI SALERNO 120 с LED-подсветкой 1200х700, с подогревом	Зеркала	Зеркала	9900	13800	7920	11040	1200	700	10,5	11	0,125	0,75	0,04	0,0037	4687202258376	Sintesi	SALERNO	Светодиодная лента	за полотном	9,6	Холодный	бесконтактный сенсор		Да	Провод питания с вилкой	Прямоугольник	Россия	ПВХ рамка			Подвесной	2 года	LED подсветка; бесконтактный сенсор, ореольная подсветка, подогрев	Зеркало настенное SALERNO 120, 1200x700 с бесконтактным включением. Зеркало с фоновый подсветкой. Использовать в любом помещение: ванная и туалет, прихожая, спальня, гостиная. Благодаря размещению LED ленты за зеркалом, создается эффект "парения". Можно использовать в любом помещение: ванная и туалет, прихожая, спальня, гостиная	https://disk.yandex.ru/i/-BNsosEuCuHVvQ	https://disk.yandex.ru/i/0T-hB5MyovFBYw	https://cdn1.ozone.ru/s3/multimedia-x/6734955813.jpg	https://cdn1.ozone.ru/s3/multimedia-u/6391838106.jpg	https://cdn1.ozone.ru/s3/multimedia-v/6391838107.jpg	https://cdn1.ozone.ru/s3/multimedia-w/6391838108.jpg	https://cdn1.ozone.ru/s3/multimedia-5/6369130757.jpg	https://cdn1.ozone.ru/s3/multimedia-1/6369130681.jpg	https://cdn1.ozone.ru/s3/multimedia-8/6369130616.jpg	https://cdn1.ozone.ru/s3/multimedia-p/6369130705.jpg	https://cdn1.ozone.ru/s3/multimedia-s/6369130600.jpg	https://cdn1.ozone.ru/s3/multimedia-q/6369130814.jpg	https://cdn1.ozone.ru/s3/multimedia-z/6369130751.jpg	https://cdn1.ozone.ru/s3/multimedia-a/6369130618.jpg	https://cdn1.ozone.ru/s3/multimedia-7/6369130651.jpg	https://cdn1.ozone.ru/s3/multimedia-1/6466481953.jpg	
SIN-SPEC-DECO-60	Зеркало SINTESI DECO 60 с LED-подсветкой D 600	Зеркала	Зеркала	6100	8400	4880	6720	600	600	5,4	5,9	0,65	0,65	0,04	0,0169	4687202258383	Sintesi	DECO	Светодиодная лента	за полотном	9,6	Холодный	бесконтактный сенсор			Провод питания с вилкой	Круг	Россия	ПВХ			Подвесной	2 года	LED подсветка; бесконтактный сенсор, ореольная подсветка	Зеркало настенное DECO 60 D600 с LED-подсветкой - это сочетание стиля и современного дизайна, оно прекрасно вписывается в любой интерьер. Сенсорный датчик позволяет управлять включением Led-подсветки касанием. LED-подсветка с холодным светом рассчитана на 50 000 часов работы в непрерывном режиме. Класс защиты изделия IP 44.  Продукция прошла обязательную и добровольную сертификацию. Можно использовать в любом помещение: ванная и туалет, прихожая, спальня, гостиная	https://disk.yandex.ru/i/AZxafuAxqh6Riw	https://disk.yandex.ru/i/rtMoFYDTEvCLCw	https://cdn1.ozone.ru/s3/multimedia-n/6734956451.jpg	https://cdn1.ozone.ru/s3/multimedia-i/6391849002.jpg	https://cdn1.ozone.ru/s3/multimedia-h/6391849001.jpg	https://cdn1.ozone.ru/s3/multimedia-k/6391849004.jpg	https://cdn1.ozone.ru/s3/multimedia-f/6369130515.jpg	https://cdn1.ozone.ru/s3/multimedia-c/6369130800.jpg	https://cdn1.ozone.ru/s3/multimedia-k/6369130736.jpg	https://cdn1.ozone.ru/s3/multimedia-1/6369130501.jpg	https://cdn1.ozone.ru/s3/multimedia-l/6369130665.jpg	https://cdn1.ozone.ru/s3/multimedia-l/6391849005.jpg	https://cdn1.ozone.ru/s3/multimedia-b/6466475699.jpg				
SIN-SPEC-DECO-80	Зеркало SINTESI DECO 80 с LED-подсветкой D 800	Зеркала	Зеркала	7300	10200	5840	8160	800	800	8,5	8,9	0,85	0,85	0,04	0,0289	4687202399338	Sintesi	DECO	Светодиодная лента	за полотном	9,6	Холодный	бесконтактный сенсор			Провод питания с вилкой	Круг	Россия	ПВХ			Подвесной	2 года	LED подсветка; бесконтактный сенсор, ореольная подсветка	Зеркало настенное DECO 80 D800 с LED-подсветкой - это сочетание стиля и современного дизайна, оно прекрасно вписывается в любой интерьер. Сенсорный датчик позволяет управлять включением Led-подсветки касанием. LED-подсветка с холодным светом рассчитана на 50 000 часов работы в непрерывном режиме. Класс защиты изделия IP 44.  Продукция прошла обязательную и добровольную сертификацию. Можно использовать в любом помещение: ванная и туалет, прихожая, спальня, гостиная	https://disk.yandex.ru/i/ujJtWMuZkOsRDA		https://cdn1.ozone.ru/s3/multimedia-n/6734956451.jpg	https://cdn1.ozone.ru/s3/multimedia-i/6391849002.jpg	https://cdn1.ozone.ru/s3/multimedia-h/6391849001.jpg	https://cdn1.ozone.ru/s3/multimedia-k/6391849004.jpg	https://cdn1.ozone.ru/s3/multimedia-k/6369130736.jpg	https://cdn1.ozone.ru/s3/multimedia-c/6369130800.jpg	https://cdn1.ozone.ru/s3/multimedia-l/6369130665.jpg	https://cdn1.ozone.ru/s3/multimedia-n/6369130523.jpg	https://cdn1.ozone.ru/s3/multimedia-1/6369130501.jpg	https://cdn1.ozone.ru/s3/multimedia-l/6391849005.jpg	https://cdn1.ozone.ru/s3/multimedia-n/6466475855.jpg				
SIN-SPEC-JANO-80	Зеркало SINTESI JANO 80 с LED-подсветкой  800x600, с подогревом	Зеркала	Зеркала	8800	12300	7040	9840	800	600	7,2	7,7	0,85	0,65	0,04	0,0221	4687202258390	Sintesi	JANO	Светодиодная лента	Встроенный	9,6	Холодный	сенсорный		Да	Провод питания с вилкой	Прямоугольник	Россия	ПВХ			Подвесной	2 года	LED подсветка; сенсорный выключатель, подогрев	Зеркало настенное JANO 80, 800х600 с LED-подсветкой - это сочетание стиля и современного дизайна, оно прекрасно вписывается в любой интерьер. Сенсор нового поколения позволяет управлять включением и яркостью Led-подсветки касанием пальца. LED-подсветка рассчитана на 50 000 часов работы в непрерывном режиме. Класс защиты изделия IP 44. Продукция прошла обязательную и добровольную сертификацию. Можно использовать в любом помещение: ванная и туалет, прихожая, спальня, гостиная	https://disk.yandex.ru/i/l8zvxFZgNukrCw	https://disk.yandex.ru/i/gVqYAIHNP-Cd5w	https://cdn1.ozone.ru/s3/multimedia-w/6734956928.jpg	https://cdn1.ozone.ru/s3/multimedia-x/6391833105.jpg	https://cdn1.ozone.ru/s3/multimedia-y/6391833106.jpg	https://cdn1.ozone.ru/s3/multimedia-w/6391833104.jpg	https://cdn1.ozone.ru/s3/multimedia-2/6391833110.jpg	https://cdn1.ozone.ru/s3/multimedia-0/6391833108.jpg	https://cdn1.ozone.ru/s3/multimedia-1/6391833109.jpg	https://cdn1.ozone.ru/s3/multimedia-z/6369130571.jpg	https://cdn1.ozone.ru/s3/multimedia-d/6369130513.jpg	https://cdn1.ozone.ru/s3/multimedia-u/6369130638.jpg	https://cdn1.ozone.ru/s3/multimedia-c/6369130548.jpg	https://cdn1.ozone.ru/s3/multimedia-v/6466477735.jpg			
SIN-SPEC-JANO-90	Зеркало SINTESI JANO 90 с LED-подсветкой  900х700, с подогревом	Зеркала	Зеркала	9300	13000	7440	10400	900	700	8	8,5	0,95	0,75	0,04	0,0285	4687202258406	Sintesi	JANO	Светодиодная лента	Встроенный	9,6	Холодный	сенсорный		Да	Провод питания с вилкой	Прямоугольник	Россия	ПВХ			Подвесной	2 года	LED подсветка; сенсорный выключатель, подогрев	Зеркало настенное JANO 90, 900х700 с LED-подсветкой - это сочетание стиля и современного дизайна, оно прекрасно вписывается в любой интерьер. Сенсор нового поколения позволяет управлять включением и яркостью Led-подсветки касанием пальца. LED-подсветка рассчитана на 50 000 часов работы в непрерывном режиме. Класс защиты изделия IP 44. Продукция прошла обязательную и добровольную сертификацию. Можно использовать в любом помещение: ванная и туалет, прихожая, спальня, гостиная	https://disk.yandex.ru/i/T_o-FnG0KLOhfQ	https://disk.yandex.ru/i/RsBVIhfGOCfp0A	https://cdn1.ozone.ru/s3/multimedia-w/6734956928.jpg	https://cdn1.ozone.ru/s3/multimedia-0/6391803876.jpg	https://cdn1.ozone.ru/s3/multimedia-1/6391803877.jpg	https://cdn1.ozone.ru/s3/multimedia-q/6369130922.jpg	https://cdn1.ozone.ru/s3/multimedia-2/6391803878.jpg	https://cdn1.ozone.ru/s3/multimedia-k/6369130664.jpg	https://cdn1.ozone.ru/s3/multimedia-7/6369130579.jpg	https://cdn1.ozone.ru/s3/multimedia-y/6466478242.jpg							
SIN-SPEC-JANO-100	Зеркало SINTESI JANO 100 с LED-подсветкой  1000x700, с подогревом	Зеркала	Зеркала	9900	13800	7920	11040	1000	700	10,4	10,9	1,05	0,75	0,04	0,0315	4687202258413	Sintesi	JANO	Светодиодная лента	Встроенный	9,6	Холодный	сенсорный		Да	Провод питания с вилкой	Прямоугольник	Россия	ПВХ			Подвесной	2 года	LED подсветка; сенсорный выключатель, подогрев	Зеркало настенное JANO 100, 1000х700 с LED-подсветкой - это сочетание стиля и современного дизайна, оно прекрасно вписывается в любой интерьер. Сенсор нового поколения позволяет управлять включением и яркостью Led-подсветки касанием пальца. LED-подсветка рассчитана на 50 000 часов работы в непрерывном режиме. Класс защиты изделия IP 44. Продукция прошла обязательную и добровольную сертификацию. Можно использовать в любом помещение: ванная и туалет, прихожая, спальня, гостиная	https://disk.yandex.ru/i/nihyf5_fOqAyIw	https://disk.yandex.ru/i/TJHKUKAC3oKqVA	https://cdn1.ozone.ru/s3/multimedia-w/6734956928.jpg	https://cdn1.ozone.ru/s3/multimedia-9/6391834125.jpg	https://cdn1.ozone.ru/s3/multimedia-a/6391834126.jpg	https://cdn1.ozone.ru/s3/multimedia-7/6391834123.jpg	https://cdn1.ozone.ru/s3/multimedia-b/6391834127.jpg	https://cdn1.ozone.ru/s3/multimedia-p/6369130597.jpg	https://cdn1.ozone.ru/s3/multimedia-5/6369130505.jpg	https://cdn1.ozone.ru/s3/multimedia-l/6369130593.jpg	https://cdn1.ozone.ru/s3/multimedia-p/6369130633.jpg	https://cdn1.ozone.ru/s3/multimedia-8/6391834124.jpg	https://cdn1.ozone.ru/s3/multimedia-1/6466479325.jpg				
SIN-SPEC-JANO-120	Зеркало SINTESI JANO 120 с LED-подсветкой  1200x800, с подогревом	Зеркала	Зеркала	11700	16300	9360	13040	1200	800	11	11,5	0,125	0,85	0,04	0,0042	4687202258420	Sintesi	JANO	Светодиодная лента	Встроенный	9,6	Холодный	сенсорный		Да	Провод питания с вилкой	Прямоугольник	Россия	ПВХ			Подвесной	2 года	LED подсветка; сенсорный выключатель, подогрев	Зеркало настенное JANO 120, 1200х800 с LED-подсветкой - это сочетание стиля и современного дизайна, оно прекрасно вписывается в любой интерьер. Сенсор нового поколения позволяет управлять включением и яркостью Led-подсветки касанием пальца. LED-подсветка рассчитана на 50 000 часов работы в непрерывном режиме. Класс защиты изделия IP 44. Продукция прошла обязательную и добровольную сертификацию. Можно использовать в любом помещение: ванная и туалет, прихожая, спальня, гостиная	https://disk.yandex.ru/i/XtEeFOMpU1JdbA	https://disk.yandex.ru/i/rNsmI8kYzbUQwg	https://cdn1.ozone.ru/s3/multimedia-o/6734961708.jpg	https://cdn1.ozone.ru/s3/multimedia-f/6391842519.jpg	https://cdn1.ozone.ru/s3/multimedia-h/6391842521.jpg	https://cdn1.ozone.ru/s3/multimedia-c/6391842516.jpg	https://cdn1.ozone.ru/s3/multimedia-d/6391842517.jpg	https://cdn1.ozone.ru/s3/multimedia-4/6369130540.jpg	https://cdn1.ozone.ru/s3/multimedia-d/6369130585.jpg	https://cdn1.ozone.ru/s3/multimedia-g/6391842520.jpg	https://cdn1.ozone.ru/s3/multimedia-l/6369130521.jpg	https://cdn1.ozone.ru/s3/multimedia-h/6466479629.jpg					
SIN-SPEC-BONO-50	Зеркало SINTESI  BONO 50 с LED-подсветкой 500x700	Зеркала	Зеркала	6400	8900	5120	7120	500	700	5,8	6,3	0,55	0,75	0,04	0,0165	4687202258437	Sintesi	BONO	Светодиодная лента	Встроенный	9,6	Холодный	сенсорный			Провод питания с вилкой	Прямоугольник	Россия	ПВХ			Подвесной	2 года	LED подсветка; сенсорный выключатель	Зеркало нестенное BONO 50, 500х700 с LED подсветкой и сенсорным выключателем. Класс защиты IP44. Стеклянное зеркальное полотно Mirox производства компании AGC Glass Russia, принадлежащей международной группе мирового лидера по производству стекла AGC Inc. Можно использовать в любом помещение: ванная и туалет, прихожая, спальня, гостиная	https://disk.yandex.ru/i/RCV4TeoMx9PVwA	https://disk.yandex.ru/i/RAYBJCte1r5MzA	https://cdn1.ozone.ru/s3/multimedia-w/6734962220.jpg	https://cdn1.ozone.ru/s3/multimedia-i/6391834962.jpg	https://cdn1.ozone.ru/s3/multimedia-n/6391834967.jpg	https://cdn1.ozone.ru/s3/multimedia-k/6391834964.jpg	https://cdn1.ozone.ru/s3/multimedia-v/6369130567.jpg	https://cdn1.ozone.ru/s3/multimedia-t/6369130817.jpg	https://cdn1.ozone.ru/s3/multimedia-m/6369130702.jpg	https://cdn1.ozone.ru/s3/multimedia-z/6369130499.jpg	https://cdn1.ozone.ru/s3/multimedia-l/6391834965.jpg	https://cdn1.ozone.ru/s3/multimedia-z/6466473671.jpg					
SIN-SPEC-BONO-60	Зеркало SINTESI  BONO 60 с LED-подсветкой 600x800	Зеркала	Зеркала	7000	9700	5600	7760	600	800	7,2	7,7	0,65	0,85	0,04	0,0221	4687202258444	Sintesi	BONO	Светодиодная лента	Встроенный	9,6	Холодный	сенсорный			Провод питания с вилкой	Прямоугольник	Россия	ПВХ			Подвесной	2 года	LED подсветка; сенсорный выключатель	Зеркало нестенное BONO 60, 600х800 с LED подсветкой и сенсорным выключателем. Класс защиты IP44. Стеклянное зеркальное полотно Mirox производства компании AGC Glass Russia, принадлежащей международной группе мирового лидера по производству стекла AGC Inc. Можно использовать в любом помещение: ванная и туалет, прихожая, спальня, гостиная	https://disk.yandex.ru/i/ldrduQ_QI0eY8Q	https://disk.yandex.ru/i/WtazYH9o9q_M0g	https://cdn1.ozone.ru/s3/multimedia-w/6734962220.jpg	https://cdn1.ozone.ru/s3/multimedia-r/6391820031.jpg	https://cdn1.ozone.ru/s3/multimedia-g/6369130624.jpg	https://cdn1.ozone.ru/s3/multimedia-t/6391820033.jpg	https://cdn1.ozone.ru/s3/multimedia-h/6391820021.jpg	https://cdn1.ozone.ru/s3/multimedia-c/6369130728.jpg	https://cdn1.ozone.ru/s3/multimedia-l/6369130737.jpg	https://cdn1.ozone.ru/s3/multimedia-j/6369130627.jpg	https://cdn1.ozone.ru/s3/multimedia-s/6391820032.jpg	https://cdn1.ozone.ru/s3/multimedia-8/6466473788.jpg					
SIN-SPEC-JORNO-40	Зеркало SINTESI  JORNO 40 с LED-подсветкой 400х700	Зеркала	Зеркала	6100	8500	4880	6800	400	700	4,6	5,1	0,45	0,75	0,04	0,3775	4687202258451	Sintesi	JORNO	Светодиодная лента	Встроенный	9,6	Холодный	сенсорный			Провод питания с вилкой	Прямоугольник	Россия	ПВХ 			Подвесной	2 года	LED подсветка; сенсорный выключатель	Зеркало нестенное JORNO 40, 400х700 с LED подсветкой и сенсорным выключателем. Класс защиты IP44. Стеклянное зеркальное полотно Mirox производства компании AGC Glass Russia, принадлежащей международной группе мирового лидера по производству стекла AGC Inc. Можно использовать в любом помещение: ванная и туалет, прихожая, спальня, гостиная	https://disk.yandex.ru/i/iI-CpbpUzLdb9A	https://disk.yandex.ru/i/eBuvcmNgTVs2Rg	https://cdn1.ozone.ru/s3/multimedia-6/6734962590.jpg	https://cdn1.ozone.ru/s3/multimedia-t/6391813625.jpg	https://cdn1.ozone.ru/s3/multimedia-s/6391813624.jpg	https://cdn1.ozone.ru/s3/multimedia-u/6391813626.jpg	https://cdn1.ozone.ru/s3/multimedia-a/6369130654.jpg	https://cdn1.ozone.ru/s3/multimedia-6/6369130758.jpg	https://cdn1.ozone.ru/s3/multimedia-r/6391813623.jpg	https://cdn1.ozone.ru/s3/multimedia-1/6466480045.jpg							
